0
F1	F2	F3	F4	time
2.196	2.196	2.120	0.000	5.871
2.197	2.197	2.127	0.000	5.877
2.199	2.199	2.107	0.000	5.891
2.200	2.200	2.078	0.000	5.898
2.201	2.201	2.076	0.000	5.906
2.201	2.201	2.091	0.000	5.918
2.202	2.202	2.116	0.000	5.926
2.202	2.202	2.124	0.000	5.939
2.203	2.203	2.105	0.000	5.949
2.204	2.204	2.101	0.000	5.959
2.205	2.205	2.099	0.000	5.968
2.207	2.207	2.113	0.000	5.980
2.208	2.208	2.114	0.000	5.990
2.208	2.208	2.115	0.000	6.002
2.208	2.208	2.140	0.000	6.008
2.208	2.208	2.123	0.000	6.017
2.208	2.208	2.105	0.000	6.029
2.210	2.210	2.053	0.000	6.037
2.212	2.212	2.011	0.000	6.050
2.213	2.213	2.049	0.000	6.058
2.212	2.212	2.082	0.000	6.070
2.210	2.210	2.094	0.000	6.080
2.208	2.208	2.094	0.000	6.092
2.207	2.207	2.086	0.000	6.099
2.207	2.207	2.081	0.000	6.107
2.207	2.207	2.102	0.000	6.120
2.207	2.207	2.123	0.000	6.127
2.207	2.207	2.113	0.000	6.139
2.206	2.206	2.098	0.000	6.148
2.205	2.205	2.089	0.000	6.160
2.203	2.203	2.074	0.000	6.168
2.201	2.201	2.057	0.000	6.180
2.200	2.200	2.047	0.000	6.188
2.200	2.200	2.048	0.000	6.197
2.199	2.199	2.056	0.000	6.209
2.197	2.197	2.070	0.000	6.217
2.194	2.194	2.046	0.000	6.230
2.191	2.191	2.015	0.000	6.238
2.188	2.188	2.020	0.000	6.250
2.185	2.185	2.047	0.000	6.258
2.182	2.182	2.072	0.000	6.270
2.182	2.182	2.072	0.000	6.278
2.179	2.179	2.056	0.000	6.291
2.177	2.177	2.037	0.000	6.301
2.175	2.175	2.034	0.000	6.311
2.173	2.173	2.047	0.000	6.321
2.171	2.171	2.048	0.000	6.328
2.168	2.168	2.049	0.000	6.340
2.165	2.165	2.049	0.000	6.349
2.162	2.162	2.049	0.000	6.360
2.162	2.162	2.065	0.000	6.370
2.161	2.161	2.060	0.000	6.381
2.160	2.160	2.040	0.000	6.390
2.159	2.159	2.043	0.000	6.401
2.158	2.158	2.046	0.000	6.412
2.158	2.158	2.055	0.000	6.422
2.157	2.157	2.069	0.000	6.431
2.156	2.156	2.062	0.000	6.439
2.156	2.156	2.074	0.000	6.450
2.156	2.156	2.089	0.000	6.459
2.157	2.157	2.091	0.000	6.473
2.157	2.157	2.084	0.000	6.481
2.157	2.157	2.064	0.000	6.492
2.157	2.157	2.058	0.000	6.500
2.157	2.157	2.071	0.000	6.512
2.158	2.158	2.072	0.000	6.521
2.159	2.159	2.072	0.000	6.535
2.159	2.159	2.088	0.000	6.542
2.160	2.160	2.090	0.000	6.549
2.162	2.162	2.084	0.000	6.561
2.162	2.162	2.071	0.000	6.571
2.163	2.163	2.055	0.000	6.583
2.164	2.164	2.053	0.000	6.590
2.165	2.165	2.068	0.000	6.602
2.165	2.165	2.094	0.000	6.610
2.166	2.166	2.094	0.000	6.624
2.166	2.166	2.078	0.000	6.630
2.167	2.167	2.060	0.000	6.641
2.169	2.169	2.048	0.000	6.651
2.171	2.171	2.057	0.000	6.661
2.172	2.172	2.046	0.000	6.672
2.172	2.172	2.031	0.000	6.680
2.171	2.171	2.046	0.000	6.692
2.171	2.171	2.063	0.000	6.702
2.172	2.172	2.074	0.000	6.714
2.172	2.172	2.057	0.000	6.721
2.172	2.172	2.038	0.000	6.733
2.173	2.173	2.042	0.000	6.743
2.173	2.173	2.053	0.000	6.750
2.171	2.171	2.076	0.000	6.762
2.170	2.170	2.074	0.000	6.770
2.170	2.170	2.057	0.000	6.785
2.170	2.170	2.047	0.000	6.791
2.170	2.170	2.040	0.000	6.805
2.171	2.171	2.051	0.000	6.812
2.171	2.171	2.059	0.000	6.823
2.170	2.170	2.055	0.000	6.831
2.168	2.168	2.053	0.000	6.845
2.166	2.166	2.060	0.000	6.853
2.165	2.165	2.064	0.000	6.861
2.165	2.165	2.043	0.000	6.873
2.164	2.164	2.029	0.000	6.881
2.164	2.164	2.037	0.000	6.895
2.164	2.164	2.057	0.000	6.902
2.162	2.162	2.079	0.000	6.914
2.160	2.160	2.068	0.000	6.924
2.158	2.158	2.045	0.000	6.935
2.157	2.157	2.039	0.000	6.942
2.155	2.155	2.035	0.000	6.954
2.154	2.154	2.040	0.000	6.963
2.152	2.152	2.027	0.000	6.971
2.152	2.152	2.011	0.000	6.983
2.150	2.150	2.009	0.000	6.992
2.147	2.147	2.007	0.000	7.005
2.146	2.146	2.007	0.000	7.012
